,Unnamed: 0,SegId,Mean,Min,Max,Variance,Count,Volume,x,y,z,StructName,sub,ses,run,acq,rec,site,date,side,StructNameNoSide
25,36,47,0.329834262,0,0.588838756,0.001154412,2071,44633.62109,67.90439401,135.0350072,-139.1881358,Right-Cerebellum-Cortex,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Cerebellum-Cortex
26,9,49,0.295973459,0.260599732,0.343426645,0.000273349,247,5323.275879,77.71255061,98.54251012,-97.52897312,Right-Thalamus,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Thalamus
27,29,50,0.314789236,0.264864296,0.376228064,0.000592431,152,3275.862061,75.78947368,73.05921053,-90.15426991,Right-Caudate,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Caudate
28,18,51,0.29509656,0.24904719,0.356711239,0.000512132,282,6077.585938,66.27659574,79.57446809,-100.7459084,Right-Putamen,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Putamen
29,3,52,0.272608795,0.247627899,0.310649455,0.000174793,65,1400.862061,70.96153846,83.30769231,-101.4323655,Right-Pallidum,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Pallidum
30,12,53,0.335401554,0.275944412,0.392440528,0.000468494,186,4008.620605,65.51075269,99.9327957,-114.2009686,Right-Hippocampus,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Hippocampus
31,2,54,0.348458357,0.289810807,0.403806984,0.000565831,69,1487.06897,69.81884058,82.93478261,-117.2913588,Right-Amygdala,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,Amygdala
32,25,58,0.358940262,0.296577424,0.445608914,0.000985993,27,581.8965454,82.03703704,68.51851852,-104.2145641,Head-ExtraCerebral,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
33,22,60,0.290840197,0.257756352,0.390802622,0.000382702,133,2866.37915,79.32330827,94.21052632,-110.6818817,Right-VentralDC,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,VentralDC
34,28,62,0.333077103,0.333077103,0.333077103,0,1,21.55172348,65,80,-110.3448322,,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
35,31,63,0.336709682,0.274986893,0.459914476,0.001449017,47,1012.93103,73.19148936,104.9468085,-96.6984641,Right-choroid-plexus,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,Right,choroid-plexus
36,33,77,0.2735494,0.257935703,0.308060259,0.000243873,19,409.4827576,83.15789474,104.4736842,-89.29220095,WM-hypointensities,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
37,35,165,0.065883909,0,10,0.057678402,14297,308125,89.51300972,99.94334476,-95.92656768,,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
38,14,258,0.009598079,0,10,0.028496826,38657,833125,87.55535867,91.77458158,-109.7417385,,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
39,37,259,0,0,0,0,720,15517.24121,93.33333333,22.66666667,-122.8544105,,o5w2Tp,1,1,R4,LLRv1,repeat,20240709,,None
40,26,0,4.53E-05,0,0.496751606,1.70E-05,251468,5419569,0,0,0,Unknown,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
41,12,2,0.287205284,0.221017495,0.451639861,0.000907985,9220,198706.8906,111.7847072,101.2524403,-78.53355289,Left-Cerebral-White-Matter,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Cerebral-White-Matter
42,2,3,0.338399518,0,0.573647976,0.001321931,9397,202521.5469,115.7983931,102.2797169,-83.18612828,Left-Cerebral-Cortex,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Cerebral-Cortex
43,37,4,0.385958634,0.244488582,1.342311621,0.015416544,520,11206.89648,98.73557692,96.89423077,-83.94562838,Left-Lateral-Ventricle,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Lateral-Ventricle
44,35,5,0.311747402,0.273479134,0.35001567,0.002928921,2,43.10344696,118.75,90,-113.793108,Left-Inf-Lat-Vent,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Inf-Lat-Vent
45,30,7,0.306846848,0.249585807,0.40204981,0.000491486,752,16206.89648,107.4567819,131.3597074,-124.3809655,Left-Cerebellum-White-Matter,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Cerebellum-White-Matter
46,28,8,0.33172428,0,0.612741172,0.000964473,2224,47931.03125,111.1881745,140.0944245,-126.037278,Left-Cerebellum-Cortex,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Cerebellum-Cortex
47,31,10,0.295586488,0.24936758,0.407192141,0.000515528,233,5021.551758,97.36051502,100.8476395,-91.32751712,Left-Thalamus,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Thalamus
48,38,11,0.304947445,0.240866199,0.380682975,0.000914871,182,3922.413574,101.2362637,74.83516484,-87.68473404,Left-Caudate,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Caudate
49,6,12,0.295591487,0.241327107,0.36992985,0.000663764,223,4806.03418,111.7264574,83.0044843,-95.31467935,Left-Putamen,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Putamen
50,0,13,0.268295762,0.249492928,0.295607746,0.000104564,61,1314.655151,106.5983607,86.8852459,-96.60825808,Left-Pallidum,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Pallidum
51,19,14,0.39543622,0.326335281,0.54017663,0.003024185,51,1099.137939,88.7254902,92.15686275,-98.78296625,3rd-Ventricle,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
52,33,15,0.403154571,0.293278009,0.529998302,0.00280568,81,1745.689575,90.18518519,123.117284,-122.4776545,4th-Ventricle,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
53,3,16,0.286599314,0,0.426071733,0.002809613,712,15344.82715,89.03089888,108.8623596,-121.9101168,Brain-Stem,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
54,17,17,0.345432585,0.278005719,0.410036385,0.000923846,176,3793.103271,111.0511364,102.6846591,-106.7398166,Left-Hippocampus,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Hippocampus
55,23,18,0.361968571,0.290677279,0.445987284,0.00126565,69,1487.06897,109.5289855,85.76086957,-111.3943074,Left-Amygdala,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Amygdala
56,14,24,0.364925726,0,1.557220221,0.017252235,16133,347693.9688,83.04933986,100.2612657,-84.44803081,CSF,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
57,8,26,0.334754247,0.296554506,0.38479811,0.000468313,35,754.3103027,99.21428571,71.14285714,-101.5763594,Left-Accumbens-area,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,Accumbens-area
58,34,28,0.29229399,0.250978827,0.381526619,0.000523738,158,3405.172363,98.11708861,96.18670886,-103.6228768,Left-VentralDC,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,VentralDC
59,11,31,0.31961898,0.275356293,0.46413675,0.001390881,27,581.8965454,105.6481481,112.5,-91.06003046,Left-choroid-plexus,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Left,choroid-plexus
60,5,41,0.288377589,0.218745425,0.419108003,0.000868334,9189,198038.7813,64.45124606,99.75133312,-79.42968302,Right-Cerebral-White-Matter,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Cerebral-White-Matter
61,1,42,0.336027432,0,0.531773746,0.001705292,8671,186875,60.00864952,100.385192,-85.76905682,Right-Cerebral-Cortex,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Cerebral-Cortex
62,18,43,0.394322923,0.264504999,1.206727862,0.013230311,472,10172.41309,76.69491525,97.15042373,-85.0379945,Right-Lateral-Ventricle,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Lateral-Ventricle
63,32,44,0.360831502,0.300956041,0.40615657,0.00107341,11,237.0689545,61.81818182,88.40909091,-117.5548634,Right-Inf-Lat-Vent,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Inf-Lat-Vent
64,16,46,0.30345259,0.251231283,0.400193751,0.00053098,809,17435.34375,71.85105068,132.1137206,-123.9589149,Right-Cerebellum-White-Matter,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Cerebellum-White-Matter
65,21,47,0.326707234,0,0.537932873,0.001535924,1968,42413.79297,68.59375,140.5055894,-127.1534246,Right-Cerebellum-Cortex,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Cerebellum-Cortex
66,13,49,0.295381258,0.263234466,0.357938468,0.000433852,215,4633.620605,79.04651163,100.0348837,-92.23737459,Right-Thalamus,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Thalamus
67,29,50,0.315479508,0.262740433,0.372567922,0.00075537,131,2823.275879,77.23282443,73.6259542,-87.83890995,Right-Caudate,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Caudate
68,7,51,0.2966025,0.255972564,0.346181482,0.000435386,256,5517.241211,68.0859375,79.67773438,-97.1578712,Right-Putamen,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Putamen
69,25,52,0.26813839,0.23316583,0.303075433,0.000294803,57,1228.448242,72.14912281,85.13157895,-96.97520143,Right-Pallidum,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Pallidum
70,15,53,0.338383387,0.285880119,0.407570183,0.000599235,184,3965.51709,66.1548913,101.7663043,-107.9647723,Right-Hippocampus,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Hippocampus
71,4,54,0.34911501,0.277040154,0.424458832,0.000806458,80,1724.137939,70.1875,85.25,-111.7241425,Right-Amygdala,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,Amygdala
72,27,58,0.355530402,0.313150436,0.389315367,0.000449155,21,452.5861816,83.33333333,69.88095238,-100.9852264,Head-ExtraCerebral,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
73,10,60,0.293466783,0.253795713,0.413282901,0.000611416,155,3340.51709,80.01612903,95.77419355,-104.5828745,Right-VentralDC,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,VentralDC
74,36,63,0.333739885,0.269379675,0.520991802,0.002223495,35,754.3103027,74.14285714,107.9285714,-90.34483252,Right-choroid-plexus,UhGjSj,1,1,R4,LLRv1,repeat,20240709,Right,choroid-plexus
75,24,77,0.276393637,0.243124828,0.337109745,0.00062976,19,409.4827576,101.1842105,90,-79.12886174,WM-hypointensities,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
76,20,165,0.048108355,0,0.664443433,0.01421056,13840,298275.8438,89.26752168,99.88294798,-89.35494814,,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
77,9,258,0.005014069,0,1.33976841,0.001681467,39027,841099.125,88.1744049,92.9373895,-104.8708147,,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
78,22,259,0,0,0,0,624,13448.27539,93.01282051,25.23637821,-125.1271043,,UhGjSj,1,1,R4,LLRv1,repeat,20240709,,None
79,22,0,4.83E-05,0,0.917066276,2.01E-05,253244,5457844.5,0,0,0,Unknown,cgQOhz,1,1,R4,LLRv1,repeat,20240709,,None
80,9,2,0.285893558,0.219483837,0.454988509,0.000880941,9132,196810.3438,111.1563732,99.30573806,-81.65904415,Left-Cerebral-White-Matter,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Cerebral-White-Matter
81,18,3,0.336241537,0,0.534793317,0.001109983,9115,196443.9531,115.7868897,98.92347778,-86.84586346,Left-Cerebral-Cortex,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Cerebral-Cortex
82,26,4,0.392991942,0.236610338,1.704129696,0.022549894,532,11465.5166,98.30357143,93.27067669,-87.00415329,Left-Lateral-Ventricle,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Lateral-Ventricle
83,28,5,0.382859752,0.356857061,0.408862442,0.00135228,2,43.10344696,117.5,85,-118.9655217,Left-Inf-Lat-Vent,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Inf-Lat-Vent
84,34,7,0.306702063,0.23838383,0.395153344,0.000693162,733,15797.41309,106.6268759,125.7162347,-129.4020836,Left-Cerebellum-White-Matter,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Cerebellum-White-Matter
85,7,8,0.324738849,0,0.554490328,0.001397958,2211,47650.85938,110.1175938,134.1768431,-131.9390551,Left-Cerebellum-Cortex,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Cerebellum-Cortex
86,35,10,0.294915186,0.250266343,0.366396666,0.000540981,216,4655.172363,97.10648148,96.89814815,-94.20498571,Left-Thalamus,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Thalamus
87,29,11,0.309098823,0.25383532,0.373083055,0.000595061,128,2758.620605,100.8203125,70.078125,-88.98168599,Left-Caudate,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Caudate
88,3,12,0.296837577,0.244686335,0.355169177,0.000653308,294,6336.206543,110.2891156,77.00680272,-97.66596774,Left-Putamen,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Putamen
89,20,13,0.262276552,0.244872883,0.29102239,0.000122376,53,1142.241333,105.1886792,82.87735849,-98.30839777,Left-Pallidum,cgQOhz,1,1,R4,LLRv1,repeat,20240709,Left,Pallidum
90,12,14,0.405528906,0.329773694,0.730756938,0.005033069,54,1163.793091,88.93518519,89.12037037,-101.0855731,3rd-Ventricle,cgQOhz,1,1,R4,LLRv1,repeat,20240709,,None
91,32,15,0.457802484,0.325423479,1.202205896,0.023859204,69,1487.06897,89.7826087,116.5942029,-127.1864111,4th-Ventricle,cgQOhz,1,1,R4,LLRv1,repeat,20240709,,None
92,4,16,0.294998556,0,0.479869068,0.001828672,700,15086.20605,89.02142857,102.3392857,-125.1822704,Brain-Stem,cgQOhz,1,1,R4,LLRv1,repeat,20240709,,None
