,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
28,1.0,0.018708540854277,0.0010000000474974,0.0010000000474974,0.3551708161830902,0.0059582559326022,20,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
29,2.0,0.3360254256927873,0.3349120914936065,0.0010000000474974,0.523625910282135,0.0168020050060496,20,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
30,3.0,0.3952904865145683,0.3906494081020355,0.3025197088718414,0.5018347501754761,0.0025762552147566,20,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
31,4.0,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0,21,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
32,5.0,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0,19,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
33,6.0,0.3120764404535293,0.3196528106927871,0.236841008067131,0.3709693253040313,0.0019092841338384,20,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
34,7.0,0.2813712798058986,0.2852154672145843,0.2259280234575271,0.3271860778331756,0.000926489737146,20,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
35,8.0,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0010000000474974,0.0,20,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
36,9.0,0.0662783027479523,0.0670894905924797,0.0625562518835067,0.0706119611859321,4.810979025444338e-06,19,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
37,10.0,0.047766650577874,0.0792916789650917,0.0010000000474974,0.0859221071004867,0.0016438977119043,21,1,P0010,R4,T1,T2mimics,1,CGv1,Leiden,20245205,P0010,01,CGv1,01
