,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
704,5,0.391610485,0.393007264,0.330086946,0.437189221,0.000858043,16,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
705,6,0.334573052,0.336938933,0.28914538,0.364288509,0.000348721,18,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
706,7,0.28440525,0.287064135,0.25093478,0.307608187,0.000288658,16,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
707,8,0.212555473,0.214421794,0.196586668,0.222172335,4.81E-05,16,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
708,9,0.159834998,0.159496903,0.154297397,0.165775821,7.68E-06,17,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
709,10,0.115001849,0.114676371,0.108641095,0.122930557,1.40E-05,18,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
710,11,0.094306909,0.09390384,0.087436698,0.100100607,1.05E-05,16,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
711,12,0.0732006,0.072385445,0.064522125,0.085626021,3.13E-05,17,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
712,13,0.063580929,0.060343903,0.053114593,0.077651985,5.47E-05,17,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
713,14,0.053139368,0.051078994,0.04272709,0.069015913,6.43E-05,19,6,P0010,R4,T1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
714,1,1.918888091,1.928857496,1.542260822,2.323347122,0.065179452,17,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
715,2,1.925982694,1.866008125,1.471583765,2.69642592,0.113204362,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
716,3,1.793381236,1.73396483,1.463237854,2.139542079,0.054783459,17,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
717,4,2.130233565,2.108876016,1.861530623,2.581861674,0.04290978,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
718,5,2.568525379,2.544483216,2.2873391,3.029504834,0.040359455,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
719,6,2.998608455,2.96789896,2.74507698,3.458467844,0.030517138,18,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
720,7,3.529107684,3.483998633,3.250888766,3.985099241,0.047494472,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
721,8,4.70979487,4.663723429,4.501010447,5.086814928,0.024872288,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
722,9,6.258323795,6.269714199,6.032242798,6.480990752,0.011666426,17,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
723,10,8.704614812,8.720211381,8.134673983,9.204619999,0.078569881,18,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
724,11,10.61634337,10.64953413,9.989949444,11.43684538,0.135835312,16,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
725,12,13.73913487,13.81493195,11.67869286,15.49855964,1.048568436,17,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
726,13,15.93156662,16.5716826,12.87797086,18.82721759,3.098327892,17,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
727,14,19.22682228,19.57751955,14.48941209,23.40435518,7.448613979,19,6,P0010,R4,R1,T2mimics,1,CGv2,Leiden,20240705,P0010,6,CGv2,1
728,1,1.421552087,1.310018122,0.736455321,2.641997814,0.240890658,26,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
729,2,1.352617713,1.287221909,0.789565206,2.22648859,0.136440871,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
730,3,0.909896409,0.920476794,0.693679869,1.128875732,0.011685036,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
731,4,0.636230095,0.64912805,0.516293228,0.71450603,0.002904928,26,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
732,5,0.473208225,0.47924158,0.40277943,0.511650443,0.000666187,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
733,6,0.357808673,0.356794819,0.343281657,0.378919393,7.65E-05,22,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
734,7,0.254189995,0.259770066,0.20556666,0.276916057,0.000322091,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
735,8,0.192054808,0.193595715,0.177835882,0.199305594,2.40E-05,22,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
736,9,0.140028432,0.139569469,0.137560785,0.146397412,4.08E-06,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
737,10,0.0988154,0.098820724,0.091319844,0.109137908,1.47E-05,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
738,11,0.072535369,0.0725029,0.068177104,0.076953195,5.59E-06,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
739,12,0.054348894,0.054130279,0.048863295,0.060906339,9.84E-06,25,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
740,13,0.035839272,0.03805428,0.001000001,0.0545552,0.000125052,25,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
741,14,0.016513515,0.003170169,0.001,0.047731992,0.000282297,24,6,P0010,R4,T1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
742,1,0.784108136,0.763348474,0.378501449,1.357855624,0.06412261,26,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
743,2,0.793847741,0.776867533,0.449137716,1.266519843,0.044185408,24,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
744,3,1.115283252,1.086401153,0.885837096,1.441587171,0.019155876,24,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
745,4,1.583979529,1.540532988,1.399568314,1.936883822,0.021019255,26,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
746,5,2.119894007,2.086710201,1.954459365,2.482748435,0.014989598,24,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
747,6,2.796441511,2.802731403,2.639083718,2.913059819,0.004569259,22,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
748,7,3.956168986,3.849558258,3.611202656,4.864602081,0.09859743,24,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
749,8,5.210346598,5.165421071,5.017420636,5.623162156,0.018813858,22,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
750,9,7.142864254,7.164893857,6.830721852,7.269513629,0.010200254,24,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
751,10,10.13488221,10.11933601,9.162719185,10.95052241,0.149857013,24,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
752,11,13.80113539,13.79255198,12.99491203,14.66768081,0.205296763,24,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
753,12,18.46018011,18.47394891,16.41865213,20.46525906,1.104500351,25,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
754,13,82.58972271,26.27825308,18.33005835,999.9991376,42408.85561,25,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
755,14,451.0125851,321.3161921,20.95030945,999.9996033,195921.2221,24,6,P0010,R4,R1,T1mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
756,1,1.417223818,1.258841395,0.810942411,3.537957668,0.409215994,17,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
757,2,1.2801327,1.27264595,0.709606409,2.179143429,0.187600194,16,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
758,3,0.937069381,0.954626739,0.75383693,1.138133883,0.013671194,17,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
759,4,0.702957854,0.721669555,0.554013133,0.80438906,0.005022533,16,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
760,5,0.485797502,0.485017523,0.445166856,0.53174752,0.000777693,16,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
761,6,0.423924251,0.420674711,0.394997329,0.480904877,0.000427506,16,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
762,7,0.326041508,0.328916892,0.290278554,0.366628855,0.000484801,16,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
763,8,0.229222101,0.230243735,0.213283092,0.242152378,5.30E-05,16,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
764,9,0.160249073,0.160289526,0.150242612,0.166377604,1.84E-05,17,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
765,10,0.112182807,0.11209368,0.101804659,0.121755242,2.90E-05,17,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
766,11,0.088082554,0.087438677,0.085900433,0.092350751,3.06E-06,16,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
767,12,0.066729908,0.067287147,0.052880548,0.080129057,4.09E-05,17,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
768,13,0.050265208,0.049469624,0.040480025,0.062761702,3.01E-05,16,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
769,14,0.041751904,0.041110849,0.024572723,0.066846974,9.08E-05,18,6,P0010,R4,T1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
770,1,0.803518397,0.794381249,0.282648944,1.233133187,0.058539384,17,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
771,2,0.872724974,0.786296091,0.458895907,1.409231917,0.081066203,16,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
772,3,1.084136904,1.047529845,0.878631253,1.326546844,0.018778004,17,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
773,4,1.438145868,1.385676816,1.243179514,1.805011362,0.024176945,16,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
774,5,2.065282256,2.061964777,1.880591752,2.246348726,0.014110908,16,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
775,6,2.364277789,2.377135705,2.079413305,2.531662692,0.012161431,16,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
776,7,3.081212316,3.040282365,2.727553997,3.444966865,0.043923275,16,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
777,8,4.367037568,4.343270808,4.129631137,4.6886042,0.019708673,16,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
778,9,6.244841847,6.238710819,6.010424335,6.655901333,0.029014408,17,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
779,10,8.934741577,8.921109589,8.213198715,9.822733184,0.186848737,17,6,P0010,R4,R1,T2mimics,1,LLRv1,Leiden,20240705,P0010,6,LLRv1,1
