,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,sub,ses,rec,run
0,1.0,0.4670605478079422,0.4738368690013885,0.3442310392856598,0.6081023812294006,0.0060541095390577,23,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
1,2.0,0.458160942251032,0.4695481657981872,0.3128514885902405,0.6146559715270996,0.0074479751561309,22,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
2,3.0,0.4870140391091506,0.4864199161529541,0.3308393955230713,0.6549787521362305,0.0086179141233554,24,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
3,4.0,0.4394978054545142,0.440881609916687,0.3325133919715881,0.5332854390144348,0.003046747436646,22,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
4,5.0,0.344369147505079,0.3551320135593414,0.268328845500946,0.3951892852783203,0.0014191191007116,21,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
5,6.0,0.2760353417446216,0.2877314686775207,0.2099789381027221,0.316018670797348,0.0008738168364937,24,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
6,7.0,0.2291730487098296,0.233062669634819,0.2031471729278564,0.2462087720632553,0.0001340681518525,24,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
7,8.0,0.1837325491335081,0.1848540306091308,0.1692319810390472,0.1912624537944793,2.214401979813313e-05,23,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
8,9.0,0.1394050900231708,0.1392082944512367,0.1363350450992584,0.1425751596689224,2.2688657373664964e-06,22,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
9,10.0,0.1037423146719282,0.1027129776775837,0.098948948085308,0.1118559464812278,1.1328139988628774e-05,22,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
10,11.0,0.0821440853178501,0.0816532485187053,0.0748951286077499,0.099454179406166,3.529536159999532e-05,24,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
11,12.0,0.0644301686968122,0.064136303961277,0.0575715713202953,0.0752856209874153,2.021205811991344e-05,21,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
12,13.0,0.0529914655807343,0.0525802839547395,0.0427844673395156,0.0653328597545623,4.623643651556226e-05,22,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
13,14.0,0.0398837153112427,0.039973895996809,0.003318948438391,0.0576412267982959,0.0001146517730009,21,20240215,P0009,R4,T1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
14,1.0,2.203011656427973,2.110430963524431,1.6444599312015518,2.905025653918881,0.1416249538008148,23,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
15,2.0,2.2651649693484006,2.129809466232544,1.626926356080982,3.1964048005849746,0.198715443562346,22,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
16,3.0,2.13180643442247,2.056173584369052,1.5267670847924053,3.0226146388006696,0.1758465054053965,24,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
17,4.0,2.3130077657893517,2.268231981920957,1.875168393586933,3.00739766922063,0.0916864261189946,22,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
18,5.0,2.941873873389804,2.815854279025462,2.5304329779480965,3.726770404177341,0.1221613569479107,21,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
19,6.0,3.669122826583661,3.475871081301255,3.164369995851498,4.762382403852322,0.1905068790226799,24,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
20,7.0,4.375020581138731,4.290692656694134,4.061593710166763,4.92253958343358,0.0520220029602547,24,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
21,8.0,5.446387476067661,5.409673766402609,5.228417706459772,5.909048596253612,0.0208313625519176,23,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
22,9.0,7.174175622880456,7.183480524526582,7.013844503643739,7.334871230445204,0.0059934980555789,22,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
23,10.0,9.649245571431129,9.735879806336156,8.940070076362227,10.106221636008277,0.0946846440884389,22,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
24,11.0,12.234027059558224,12.247961882415265,10.054881614537768,13.352003242257906,0.7010250906396275,24,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
25,12.0,15.594580060888802,15.591793387466806,13.282748908548676,17.36968397886122,1.1287955378762855,21,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
26,13.0,19.17892577709399,19.018607867008647,15.306233398579606,23.372968326671234,5.852048584472748,22,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
27,14.0,37.79785138432728,25.016325656118852,17.34869390443929,301.3002517402064,3485.9455865830296,21,20240215,P0009,R4,R1,T1mimics,1,CGv2,P0009,20240215,CGv2,01
28,1.0,0.4958004183494128,0.4981467872858047,0.3181245326995849,0.6528339982032776,0.0097247677852988,26,20240215,P0009,R4,T1,T2mimics,1,CGv2,P0009,20240215,CGv2,01
