,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,sub,ses,rec,run
930,7,0.309127517,0.316980332,0.252385885,0.328237176,0.000400105,19,280224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,280224,CGv2,1
931,8,0.227286994,0.229860857,0.210647926,0.24247086,9.75E-05,16,280224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,280224,CGv2,1
932,9,0.164566104,0.161020286,0.151796654,0.193669021,0.000113018,16,280224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,280224,CGv2,1
933,10,0.114121394,0.113466606,0.106757753,0.124083824,1.55E-05,21,280224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,280224,CGv2,1
934,11,0.087109398,0.087442148,0.080283523,0.091406815,1.06E-05,18,280224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,280224,CGv2,1
935,12,0.065316252,0.066380426,0.050729442,0.078678533,4.36E-05,19,280224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,280224,CGv2,1
936,13,0.054147798,0.052391786,0.045067456,0.067276508,2.98E-05,19,280224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,280224,CGv2,1
937,14,0.03819145,0.040611386,0.003456709,0.054928705,0.000122649,16,280224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,280224,CGv2,1
938,1,1.128575727,1.124080411,0.764801897,1.515503198,0.034331528,16,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
939,2,0.98922006,0.948908403,0.681602218,1.43095279,0.054337947,18,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
940,3,1.161812845,1.174064242,0.841284963,1.561472618,0.037830937,17,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
941,4,1.409398694,1.421116721,1.152309414,1.634435058,0.023503745,18,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
942,5,2.121070654,2.076776229,1.906263968,2.592860198,0.023021328,19,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
943,6,2.439668595,2.406775244,2.170569758,2.749437484,0.022719682,18,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
944,7,3.250125747,3.154769866,3.046577516,3.96218672,0.055566528,19,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
945,8,4.408151439,4.350564623,4.124206917,4.74725776,0.037662926,16,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
946,9,6.100118908,6.210402572,5.163448414,6.587760498,0.133408724,16,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
947,10,8.772866242,8.813165735,8.059068169,9.367001231,0.08863239,21,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
948,11,11.49636841,11.43638915,10.94010335,12.45585604,0.195791356,18,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
949,12,15.47474502,15.0646818,12.70994713,19.71241853,2.705962191,19,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
950,13,18.64737105,19.08696141,14.86402959,22.18896066,3.209738013,19,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
951,14,41.87231659,24.62384883,18.20541734,289.2925444,4097.976614,16,280224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,280224,CGv2,1
