;Unnamed: 0;SegId;Mean;Min;Max;Variance;Count;Volume;x;y;z;StructName;sub;ses;run;acq;rec;side;StructNameNoSide
28;30;51;0.29361856;0.247404978;0.337198257;0.000568853;250;5387.930664;66.59;96.33;-89.07586702;Right-Putamen;a3b8Im;1;1;R4;CGv1;Right;Putamen
29;4;52;0.277975159;0.253915668;0.310614973;0.000209003;75;1616.379272;71.3;98.96666667;-90.52874056;Right-Pallidum;a3b8Im;1;1;R4;CGv1;Right;Pallidum
30;24;53;0.335646295;0.283225924;0.411863983;0.00086706;169;3642.241211;68.81656805;114.8668639;-102.5096966;Right-Hippocampus;a3b8Im;1;1;R4;CGv1;Right;Hippocampus
31;14;54;0.366127456;0.307163924;0.396041155;0.000335915;69;1487.06897;69.92753623;97.31884058;-107.0464814;Right-Amygdala;a3b8Im;1;1;R4;CGv1;Right;Amygdala
32;23;58;0.351179564;0.320453048;0.397879153;0.00049037;16;344.8275757;81.09375;83.28125;-95.47414277;Head-ExtraCerebral;a3b8Im;1;1;R4;CGv1;;None
33;12;60;0.286981174;0.254049212;0.358678997;0.000364675;174;3750;81.1637931;108.2327586;-98.0776901;Right-VentralDC;a3b8Im;1;1;R4;CGv1;Right;VentralDC
34;37;63;0.327452431;0.299044579;0.408749819;0.000668358;31;668.1034546;77.58064516;115.8064516;-85.98443214;Right-choroid-plexus;a3b8Im;1;1;R4;CGv1;Right;choroid-plexus
35;7;77;0.262734648;0.242238343;0.295708686;0.000259998;32;689.6551514;104.765625;103.046875;-68.42672943;WM-hypointensities;a3b8Im;1;1;R4;CGv1;;None
36;27;165;0.167186328;0;0.623514533;0.024685047;13834;298146.5313;95.65924534;111.6407041;-84.6891517;;a3b8Im;1;1;R4;CGv1;;None
37;16;258;0.006232836;0;0.574562907;0.001793579;38210;823491.375;91.64145512;104.2878173;-101.4894144;;a3b8Im;1;1;R4;CGv1;;None
38;31;259;0;0;0;0;483;10409.48242;82.3757764;37.81055901;-118.6977984;;a3b8Im;1;1;R4;CGv1;;None
39;13;0;0.000256621;0;0.561720729;9.23E-05;259275;5587823;0;0;0;Unknown;a3b8Im;1;1;R4;LLRv1;;None
40;37;2;0.279035533;0.232449412;0.459302157;0.000644568;9468;204051.7188;117.2478348;110.529943;-74.17690598;Left-Cerebral-White-Matter;a3b8Im;1;1;R4;LLRv1;Left;Cerebral-White-Matter
41;19;3;0.320778421;0;0.594705641;0.001059355;8083;174202.5781;119.3198689;113.3938513;-80.4237979;Left-Cerebral-Cortex;a3b8Im;1;1;R4;LLRv1;Left;Cerebral-Cortex
42;30;4;0.40293581;0.257756323;9.277030945;0.20254618;491;10581.89648;101.0641548;101.5427699;-79.16989064;Left-Lateral-Ventricle;a3b8Im;1;1;R4;LLRv1;Left;Lateral-Ventricle
43;28;5;0.366540994;0.303436428;0.415378362;0.001160444;13;280.1723938;117.8846154;98.46153846;-107.9575643;Left-Inf-Lat-Vent;a3b8Im;1;1;R4;LLRv1;Left;Inf-Lat-Vent
44;34;7;0.301261836;0.249057621;0.378448755;0.000430429;677;14590.5166;112.0679468;138.7555391;-120.047883;Left-Cerebellum-White-Matter;a3b8Im;1;1;R4;LLRv1;Left;Cerebellum-White-Matter
45;23;8;0.326800667;0.266306847;0.428432167;0.000576883;2093;45107.75781;116.1204013;145.6008122;-122.8116755;Left-Cerebellum-Cortex;a3b8Im;1;1;R4;LLRv1;Left;Cerebellum-Cortex
46;14;10;0.275410326;0.249178678;0.331517428;0.000235875;250;5387.930664;102.57;109.36;-85.93103949;Left-Thalamus;a3b8Im;1;1;R4;LLRv1;Left;Thalamus
47;4;11;0.296753502;0.237106383;0.386635274;0.000948293;126;2715.51709;102.1626984;86.01190476;-80.97975331;Left-Caudate;a3b8Im;1;1;R4;LLRv1;Left;Caudate
48;9;12;0.289007764;0.251196563;0.338605255;0.000328828;247;5323.275879;113.1578947;90.26315789;-90.66034277;Left-Putamen;a3b8Im;1;1;R4;LLRv1;Left;Putamen
