,Unnamed: 0,Pos,WM,GM,sub,ses,run,acq,rec,site
72,72,0.18113999,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
73,73,0.183635,0,0,TeTolj,1,1,R4,LLRv1,Tommies
74,74,0.18612999,0,0,TeTolj,1,1,R4,LLRv1,Tommies
75,75,0.188625,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
76,76,0.19112,0,0.019222247,TeTolj,1,1,R4,LLRv1,Tommies
77,77,0.19361499,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
78,78,0.19611,0,0.038444265,TeTolj,1,1,R4,LLRv1,Tommies
79,79,0.198605,0,0,TeTolj,1,1,R4,LLRv1,Tommies
80,80,0.20109999,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
81,81,0.203595,0,0,TeTolj,1,1,R4,LLRv1,Tommies
82,82,0.20608999,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
83,83,0.208585,0,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
84,84,0.21108,0,0,TeTolj,1,1,R4,LLRv1,Tommies
85,85,0.21357499,0,0.057666397,TeTolj,1,1,R4,LLRv1,Tommies
86,86,0.21607,0.017351534,0.019222247,TeTolj,1,1,R4,LLRv1,Tommies
87,87,0.21856499,0.01735143,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
88,88,0.22106,0.01735143,0.115332795,TeTolj,1,1,R4,LLRv1,Tommies
89,89,0.223555,0.017351534,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
90,90,0.22604999,0.06940572,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
91,91,0.228545,0.138811441,0.038444265,TeTolj,1,1,R4,LLRv1,Tommies
92,92,0.23104,0.294976073,0.038444494,TeTolj,1,1,R4,LLRv1,Tommies
93,93,0.23353499,0.381731462,0.019222132,TeTolj,1,1,R4,LLRv1,Tommies
94,94,0.23603,1.318716561,0.115333483,TeTolj,1,1,R4,LLRv1,Tommies
95,95,0.23852499,2.4812545,0.07688853,TeTolj,1,1,R4,LLRv1,Tommies
96,96,0.24102,3.400880294,0.134554927,TeTolj,1,1,R4,LLRv1,Tommies
97,97,0.243515,5.101350909,0.249889214,TeTolj,1,1,R4,LLRv1,Tommies
98,98,0.24600999,6.281217686,0.172999192,TeTolj,1,1,R4,LLRv1,Tommies
99,99,0.248505,8.363439245,0.288333708,TeTolj,1,1,R4,LLRv1,Tommies
100,100,0.251,9.682040155,0.153776141,TeTolj,1,1,R4,LLRv1,Tommies
101,101,0.253495,9.89037421,0.442111686,TeTolj,1,1,R4,LLRv1,Tommies
102,102,0.25599,11.72963678,0.403667192,TeTolj,1,1,R4,LLRv1,Tommies
103,103,0.258485,14.1588515,0.480556181,TeTolj,1,1,R4,LLRv1,Tommies
104,104,0.26097998,15.85911237,0.615104564,TeTolj,1,1,R4,LLRv1,Tommies
105,105,0.263475,17.07390916,0.845778878,TeTolj,1,1,R4,LLRv1,Tommies
106,106,0.26597,16.08487174,1.018779103,TeTolj,1,1,R4,LLRv1,Tommies
107,107,0.26846498,15.65089645,1.307097199,TeTolj,1,1,R4,LLRv1,Tommies
108,108,0.27096,15.23464659,1.653113262,TeTolj,1,1,R4,LLRv1,Tommies
109,109,0.273455,14.73145211,1.614668767,TeTolj,1,1,R4,LLRv1,Tommies
110,110,0.27594998,14.1066284,2.614194397,TeTolj,1,1,R4,LLRv1,Tommies
111,111,0.278445,13.9506331,2.28744742,TeTolj,1,1,R4,LLRv1,Tommies
112,112,0.28094,14.02003923,3.094781804,TeTolj,1,1,R4,LLRv1,Tommies
113,113,0.283435,12.77057626,3.575295278,TeTolj,1,1,R4,LLRv1,Tommies
114,114,0.28593,13.16981408,5.401451472,TeTolj,1,1,R4,LLRv1,Tommies
115,115,0.288425,12.77072881,5.151562258,TeTolj,1,1,R4,LLRv1,Tommies
116,116,0.29092,12.70132267,6.689342036,TeTolj,1,1,R4,LLRv1,Tommies
117,117,0.29341498,13.2564134,7.016036433,TeTolj,1,1,R4,LLRv1,Tommies
118,118,0.29591,11.72963678,8.073343837,TeTolj,1,1,R4,LLRv1,Tommies
119,119,0.298405,11.76433985,10.3800135,TeTolj,1,1,R4,LLRv1,Tommies
120,120,0.30089998,10.67106576,11.26410233,TeTolj,1,1,R4,LLRv1,Tommies
121,121,0.303395,10.68854476,11.84090429,TeTolj,1,1,R4,LLRv1,Tommies
122,122,0.30589,9.213664396,11.34112587,TeTolj,1,1,R4,LLRv1,Tommies
123,123,0.30838498,8.658311895,13.35930225,TeTolj,1,1,R4,LLRv1,Tommies
124,124,0.31088,8.276681576,13.91690699,TeTolj,1,1,R4,LLRv1,Tommies
125,125,0.313375,7.374401824,14.49357441,TeTolj,1,1,R4,LLRv1,Tommies
126,126,0.31587,6.48939609,14.85861962,TeTolj,1,1,R4,LLRv1,Tommies
127,127,0.318365,5.049296307,16.41579913,TeTolj,1,1,R4,LLRv1,Tommies
128,128,0.32086,5.240163178,15.37779778,TeTolj,1,1,R4,LLRv1,Tommies
129,129,0.323355,4.389938027,15.22401981,TeTolj,1,1,R4,LLRv1,Tommies
130,130,0.32584998,3.435562636,15.83894252,TeTolj,1,1,R4,LLRv1,Tommies
131,131,0.328345,3.071221465,14.70501913,TeTolj,1,1,R4,LLRv1,Tommies
132,132,0.33084,2.776245392,13.74390677,TeTolj,1,1,R4,LLRv1,Tommies
133,133,0.33333498,2.134213153,15.39683612,TeTolj,1,1,R4,LLRv1,Tommies
134,134,0.33583,2.047480977,13.74390677,TeTolj,1,1,R4,LLRv1,Tommies
135,135,0.338325,1.648395702,11.51412609,TeTolj,1,1,R4,LLRv1,Tommies
136,136,0.34081998,1.526916727,11.47554452,TeTolj,1,1,R4,LLRv1,Tommies
137,137,0.343315,1.093146623,10.72601395,TeTolj,1,1,R4,LLRv1,Tommies
138,138,0.34581,0.971685887,9.611123615,TeTolj,1,1,R4,LLRv1,Tommies
139,139,0.348305,0.711404384,9.361122584,TeTolj,1,1,R4,LLRv1,Tommies
140,140,0.3508,0.728764416,9.130567434,TeTolj,1,1,R4,LLRv1,Tommies
141,141,0.353295,0.780819017,6.574008553,TeTolj,1,1,R4,LLRv1,Tommies
142,142,0.35579,0.60730368,6.843120014,TeTolj,1,1,R4,LLRv1,Tommies
143,143,0.35828498,0.624647752,4.997724583,TeTolj,1,1,R4,LLRv1,Tommies
144,144,0.36078,0.451139876,5.170784505,TeTolj,1,1,R4,LLRv1,Tommies
145,145,0.363275,0.294976073,3.940560682,TeTolj,1,1,R4,LLRv1,Tommies
146,146,0.36576998,0.329675202,4.075067737,TeTolj,1,1,R4,LLRv1,Tommies
147,147,0.368265,0.294976073,3.114004051,TeTolj,1,1,R4,LLRv1,Tommies
148,148,0.37076,0.156163803,2.960226073,TeTolj,1,1,R4,LLRv1,Tommies
149,149,0.37325498,0.190864591,2.864080626,TeTolj,1,1,R4,LLRv1,Tommies
150,150,0.37575,0.190866871,2.325891915,TeTolj,1,1,R4,LLRv1,Tommies
151,151,0.378245,0.104109202,1.883780229,TeTolj,1,1,R4,LLRv1,Tommies
