;Unnamed: 0;SegId;Mean;Min;Max;Variance;Count;Volume;x;y;z;StructName;sub;ses;run;acq;rec;side;StructNameNoSide
947;15;24;0.380487497;0;5.41676712;0.012407013;18123;390581.875;84.54243227;116.9293163;-104.1549459;CSF;vXmj1V;1;2;R4;LLRv1;;None
948;26;26;0.346789703;0.308956355;0.403214633;0.00048152;36;775.8620605;96.59722222;90.20833333;-113.6015371;Left-Accumbens-area;vXmj1V;1;2;R4;LLRv1;Left;Accumbens-area
949;5;28;0.287006146;0.253695667;0.380775869;0.000418904;177;3814.655029;98.94067797;114.1525424;-121.5858217;Left-VentralDC;vXmj1V;1;2;R4;LLRv1;Left;VentralDC
950;18;31;0.33535427;0.278278172;0.426862061;0.001515537;31;668.1034546;113.3064516;129.516129;-117.908792;Left-choroid-plexus;vXmj1V;1;2;R4;LLRv1;Left;choroid-plexus
951;13;41;0.28468633;0.210427955;0.418500364;0.000802286;10401;224159.4688;64.11162388;122.915585;-96.13731259;Right-Cerebral-White-Matter;vXmj1V;1;2;R4;LLRv1;Right;Cerebral-White-Matter
952;20;42;0.33334808;0;0.760765791;0.001209879;9734;209784.4688;59.52254983;122.6528149;-101.1803679;Right-Cerebral-Cortex;vXmj1V;1;2;R4;LLRv1;Right;Cerebral-Cortex
953;36;43;0.38016031;0.272686005;0.623899221;0.004645963;471;10150.86133;77.63800425;116.3110403;-100.6296263;Right-Lateral-Ventricle;vXmj1V;1;2;R4;LLRv1;Right;Lateral-Ventricle
954;10;44;0.332158506;0.298470348;0.353864431;0.000293717;14;301.7241211;57.32142857;110;-127.8325166;Right-Inf-Lat-Vent;vXmj1V;1;2;R4;LLRv1;Right;Inf-Lat-Vent
955;6;46;0.309350698;0.207598805;0.418599248;0.000875671;812;17500;69.5658867;141.7087438;-151.0446786;Right-Cerebellum-White-Matter;vXmj1V;1;2;R4;LLRv1;Right;Cerebellum-White-Matter
956;22;47;0.335435634;0;0.528811395;0.001023428;2449;52780.17188;66.46284198;148.7045733;-156.1101684;Right-Cerebellum-Cortex;vXmj1V;1;2;R4;LLRv1;Right;Cerebellum-Cortex
957;24;49;0.300438143;0.262131214;0.388544738;0.00061552;251;5409.482422;78.76494024;119.6912351;-108.3665385;Right-Thalamus;vXmj1V;1;2;R4;LLRv1;Right;Thalamus
958;9;50;0.313221339;0.275593311;0.375253797;0.000409714;149;3211.206787;74.4966443;96.54362416;-97.33858385;Right-Caudate;vXmj1V;1;2;R4;LLRv1;Right;Caudate
959;37;51;0.303198393;0.253887534;0.378501356;0.000473873;251;5409.482422;64.3625498;102.3007968;-109.1083986;Right-Putamen;vXmj1V;1;2;R4;LLRv1;Right;Putamen
960;4;52;0.268312844;0.243711293;0.301576197;0.000186667;60;1293.103394;69.54166667;106.125;-110.6896598;Right-Pallidum;vXmj1V;1;2;R4;LLRv1;Right;Pallidum
961;14;53;0.332067858;0.269770592;0.409142971;0.000796812;186;4008.620605;62.88978495;118.8709677;-126.3811686;Right-Hippocampus;vXmj1V;1;2;R4;LLRv1;Right;Hippocampus
962;3;54;0.352366933;0.282299966;0.397408426;0.00052601;71;1530.172363;65.24647887;102.7816901;-126.4205968;Right-Amygdala;vXmj1V;1;2;R4;LLRv1;Right;Amygdala
963;28;58;0.344068889;0.313867182;0.37639001;0.000317691;22;474.1379089;79.43181818;91.02272727;-112.6959293;Head-ExtraCerebral;vXmj1V;1;2;R4;LLRv1;;None
964;17;60;0.284749479;0.248693466;0.388142318;0.000598398;161;3469.827393;77.88819876;113.9440994;-121.4178669;Right-VentralDC;vXmj1V;1;2;R4;LLRv1;Right;VentralDC
965;1;63;0.352662521;0.279087543;0.447863609;0.001398237;42;905.1723633;69.70238095;126.4285714;-113.2183954;Right-choroid-plexus;vXmj1V;1;2;R4;LLRv1;Right;choroid-plexus
966;30;77;0.282041664;0.243603915;0.333981395;0.000515861;25;538.7930908;94.7;113.5;-97.10345309;WM-hypointensities;vXmj1V;1;2;R4;LLRv1;;None
967;23;165;0.104751325;0;3.854617357;0.028914191;16896;364137.9063;93.02408854;114.8122337;-105.1681326;;vXmj1V;1;2;R4;LLRv1;;None
968;25;258;0.011872313;0;0.682747185;0.00387801;42969;926056;88.1914287;111.1031209;-124.930648;;vXmj1V;1;2;R4;LLRv1;;None
969;32;259;0;0;0;0;729;15711.20605;86.29972565;43.16529492;-132.9265451;;vXmj1V;1;2;R4;LLRv1;;None
970;22;0;0.000249792;0;0.373968691;6.84E-05;222389;4792866;0;0;0;Unknown;QlA4b9;1;1;R4;CGv1;;None
971;14;2;0.286627107;0;0.442456603;0.001082132;10911;235150.8594;117.2406287;115.9256713;-83.46907612;Left-Cerebral-White-Matter;QlA4b9;1;1;R4;CGv1;Left;Cerebral-White-Matter
972;36;3;0.331768456;0;0.609596193;0.003956279;11183;241012.9219;119.3492354;122.5458285;-91.8913301;Left-Cerebral-Cortex;QlA4b9;1;1;R4;CGv1;Left;Cerebral-Cortex
973;38;4;0.367979097;0.242693856;2.004797935;0.020444753;585;12607.75781;103.7179487;110.8931624;-91.68877591;Left-Lateral-Ventricle;QlA4b9;1;1;R4;CGv1;Left;Lateral-Ventricle
