,Unnamed: 0,SegId,Mean,Min,Max,Variance,Count,Volume,x,y,z,StructName,sub,ses,run,acq,rec,site,side,StructNameNoSide
27,9,49,0.296691274,0.263715923,0.36574018,0.000391861,218,4698.275879,81.16972477,105.9518349,-99.25656916,Right-Thalamus,TlVfev,1,1,R4,LLRv1,Cubric,Right,Thalamus
28,8,50,0.316636207,0.253182709,0.407660127,0.000718392,117,2521.551758,79.25213675,80.21367521,-94.84232728,Right-Caudate,TlVfev,1,1,R4,LLRv1,Cubric,Right,Caudate
29,40,51,0.294064204,0.251225621,0.345233619,0.000438172,209,4504.310059,69.49760766,87.77511962,-102.3428524,Right-Putamen,TlVfev,1,1,R4,LLRv1,Cubric,Right,Putamen
30,39,52,0.273103593,0.249013856,0.302348495,0.000180036,64,1379.310303,73.203125,92.3046875,-103.7176771,Right-Pallidum,TlVfev,1,1,R4,LLRv1,Cubric,Right,Pallidum
31,19,53,0.336713601,0.263842374,0.437992841,0.001042556,170,3663.792969,66.41176471,107.8088235,-116.288037,Right-Hippocampus,TlVfev,1,1,R4,LLRv1,Cubric,Right,Hippocampus
32,28,54,0.365061098,0.297034204,0.409802198,0.000518775,61,1314.655151,70.08196721,92.62295082,-119.38949,Right-Amygdala,TlVfev,1,1,R4,LLRv1,Cubric,Right,Amygdala
33,25,58,0.348525583,0.30555436,0.425887972,0.001079072,28,603.4482422,83.30357143,78.03571429,-108.0049307,Head-ExtraCerebral,TlVfev,1,1,R4,LLRv1,Cubric,,None
34,36,60,0.280745402,0.249677509,0.358125508,0.000329242,139,2995.689453,80.75539568,104.6043165,-111.1634876,Right-VentralDC,TlVfev,1,1,R4,LLRv1,Cubric,Right,VentralDC
35,14,62,0.316934084,0.301658154,0.328380913,9.01E-05,6,129.3103333,66.25,92.91666667,-110.3448322,,TlVfev,1,1,R4,LLRv1,Cubric,,None
36,17,63,0.332440243,0.280906588,0.424675494,0.000888483,35,754.3103027,74.42857143,108.7857143,-100.9852264,Right-choroid-plexus,TlVfev,1,1,R4,LLRv1,Cubric,Right,choroid-plexus
37,0,77,0.278901493,0.243238539,0.355900586,0.000626546,36,775.8620605,97.08333333,98.47222222,-87.73946857,WM-hypointensities,TlVfev,1,1,R4,LLRv1,Cubric,,None
38,5,165,0.100012293,0,0.816100001,0.024131437,15628,336810.3438,96.11866522,111.7063924,-98.18142983,,TlVfev,1,1,R4,LLRv1,Cubric,,None
39,30,258,0.009187651,0,1.078210354,0.003138528,43251,932133.5625,92.16307137,102.9236318,-113.7981308,,TlVfev,1,1,R4,LLRv1,Cubric,,None
40,2,259,0,0,0,0,479,10323.27539,93.50730689,35.68893528,-130.4729724,,TlVfev,1,1,R4,LLRv1,Cubric,,None
41,24,0,0.009333906,0,0.863353491,0.00292881,281896,6075344.5,0,0,0,Unknown,TlVfev,1,2,R4,LLRv1,Cubric,,None
42,19,2,0.302586084,0.233588889,0.652511775,0.001720594,7282,156939.6563,116.4752129,116.511604,-76.23900733,Left-Cerebral-White-Matter,TlVfev,1,2,R4,LLRv1,Cubric,Left,Cerebral-White-Matter
43,36,3,0.327141158,0,1.014425159,0.002488862,6847,147564.6563,118.7246239,118.2054184,-81.5046157,Left-Cerebral-Cortex,TlVfev,1,2,R4,LLRv1,Cubric,Left,Cerebral-Cortex
44,39,4,0.290459783,0.23904182,0.461545527,0.001418333,399,8599.137695,102.0676692,103.452381,-79.41405748,Left-Lateral-Ventricle,TlVfev,1,2,R4,LLRv1,Cubric,Left,Lateral-Ventricle
45,11,5,0.266168731,0.248108253,0.304115593,0.000386054,6,129.3103333,113.75,100.8333333,-98.8505795,Left-Inf-Lat-Vent,TlVfev,1,2,R4,LLRv1,Cubric,Left,Inf-Lat-Vent
46,4,7,0.340222441,0.252283454,0.669742107,0.002360896,512,11034.48242,112.34375,134.3408203,-116.8776985,Left-Cerebellum-White-Matter,TlVfev,1,2,R4,LLRv1,Cubric,Left,Cerebellum-White-Matter
47,8,8,0.325381623,0.240110442,0.616336167,0.001361451,1627,35064.65234,114.7618316,141.9114935,-120.816824,Left-Cerebellum-Cortex,TlVfev,1,2,R4,LLRv1,Cubric,Left,Cerebellum-Cortex
48,38,10,0.301761253,0.253851652,0.425072312,0.00113285,178,3836.206787,101.8679775,112.5140449,-86.47811425,Left-Thalamus,TlVfev,1,2,R4,LLRv1,Cubric,Left,Thalamus
49,0,11,0.27839158,0.238407344,0.385200441,0.00100068,92,1982.758545,104.4021739,88.26086957,-80.13493763,Left-Caudate,TlVfev,1,2,R4,LLRv1,Cubric,Left,Caudate
50,23,12,0.255588847,0.233180434,0.293846518,0.00014372,203,4375,114.7167488,96.79802956,-85.76525046,Left-Putamen,TlVfev,1,2,R4,LLRv1,Cubric,Left,Putamen
51,13,13,0.270758455,0.234627232,0.374426335,0.001018701,39,840.5172119,109.6794872,100.7051282,-88.2405001,Left-Pallidum,TlVfev,1,2,R4,LLRv1,Cubric,Left,Pallidum
52,33,14,0.331161641,0.278771728,0.447655886,0.001233598,46,991.3792725,92.5,104.8369565,-90.77961512,3rd-Ventricle,TlVfev,1,2,R4,LLRv1,Cubric,,None
53,16,15,0.42796434,0.295639008,0.686061978,0.008861375,56,1206.896484,93.30357143,125.1339286,-114.1009898,4th-Ventricle,TlVfev,1,2,R4,LLRv1,Cubric,,None
54,35,16,0.330373393,0.248585507,0.612409651,0.00412394,477,10280.17188,92.77253669,113.721174,-110.2653122,Brain-Stem,TlVfev,1,2,R4,LLRv1,Cubric,,None
55,2,17,0.282794421,0.24644807,0.423386604,0.000744253,115,2478.448242,115.8043478,111.673913,-99.10045456,Left-Hippocampus,TlVfev,1,2,R4,LLRv1,Cubric,Left,Hippocampus
56,7,18,0.265660989,0.240793809,0.304077119,0.000266,43,926.7241211,113.1395349,96.86046512,-98.55654048,Left-Amygdala,TlVfev,1,2,R4,LLRv1,Cubric,Left,Amygdala
57,30,24,0.344825239,0,3.360959291,0.007761964,11364,244913.7813,88.35181274,109.2766631,-80.91887775,CSF,TlVfev,1,2,R4,LLRv1,Cubric,,None
58,9,26,0.391605256,0.3050749,0.677537799,0.009384809,16,344.8275757,102.1875,84.53125,-89.65517735,Left-Accumbens-area,TlVfev,1,2,R4,LLRv1,Cubric,Left,Accumbens-area
59,21,28,0.30754364,0.254475802,0.440039009,0.001274792,102,2198.275879,102.8676471,109.0931373,-95.43611032,Left-VentralDC,TlVfev,1,2,R4,LLRv1,Cubric,Left,VentralDC
60,14,30,0.257663578,0.25286448,0.262462676,4.61E-05,2,43.10344696,116.25,97.5,-93.10345316,Left-vessel,TlVfev,1,2,R4,LLRv1,Cubric,Left,vessel
61,17,31,0.285218742,0.253403217,0.347838104,0.000783062,18,387.9310303,104.8611111,115.5555556,-86.59004331,Left-choroid-plexus,TlVfev,1,2,R4,LLRv1,Cubric,Left,choroid-plexus
62,22,41,0.296007353,0.233843178,0.687180221,0.001352391,7089,152780.1719,68.70397799,111.5210185,-77.27173746,Right-Cerebral-White-Matter,TlVfev,1,2,R4,LLRv1,Cubric,Right,Cerebral-White-Matter
63,12,42,0.324432027,0.233176827,2.646449566,0.004278358,6111,131702.5781,65.45246277,111.0747014,-82.18475952,Right-Cerebral-Cortex,TlVfev,1,2,R4,LLRv1,Cubric,Right,Cerebral-Cortex
64,34,43,0.285014562,0.237589717,0.440052569,0.000810947,339,7306.03418,81.58554572,102.0870206,-79.79860138,Right-Lateral-Ventricle,TlVfev,1,2,R4,LLRv1,Cubric,Right,Lateral-Ventricle
65,15,44,0.294573939,0.258553147,0.363458008,0.000759407,25,538.7930908,65.6,96.7,-103.0344875,Right-Inf-Lat-Vent,TlVfev,1,2,R4,LLRv1,Cubric,Right,Inf-Lat-Vent
66,3,46,0.338273558,0.27044785,0.567146778,0.001299089,660,14224.1377,74.91287879,134.2007576,-116.53083,Right-Cerebellum-White-Matter,TlVfev,1,2,R4,LLRv1,Cubric,Right,Cerebellum-White-Matter
67,28,47,0.331441472,0.245350093,0.581134796,0.001246984,1511,32564.6543,73.25943084,141.7157512,-120.7695336,Right-Cerebellum-Cortex,TlVfev,1,2,R4,LLRv1,Cubric,Right,Cerebellum-Cortex
