,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
143,4,0.726328072,0.688717604,0.576188684,0.976406634,0.011480486,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
144,5,0.508926731,0.516970813,0.412870049,0.584072948,0.002265534,21,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
145,6,0.416681774,0.415189475,0.387946665,0.444882512,0.000271782,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
146,7,0.321418303,0.329416394,0.260861069,0.355862767,0.000530147,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
147,8,0.237818432,0.240304872,0.200078771,0.255978912,0.000191042,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
148,9,0.164620846,0.164041176,0.158580601,0.170056313,8.77E-06,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
149,10,0.118994944,0.118234269,0.115363829,0.126766101,7.83E-06,21,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
150,11,0.089425947,0.088219665,0.083481476,0.097240798,2.12E-05,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
151,12,0.0480575,0.061147004,0,0.074084982,0.000842647,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
152,13,0.03967671,0.046920612,0,0.061359741,0.000454287,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
153,14,0.040934543,0.040258631,0.001000001,0.062707789,0.00015171,19,3,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
154,1,0.746303575,0.744014171,0.377426153,1.255128214,0.041765447,19,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
155,2,0.935866186,0.856616752,0.513703524,1.726550521,0.121822063,21,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
156,3,1.019763745,1.008169329,0.766716882,1.449278372,0.027803976,21,3,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,3,LLRv1,1
